symptoms,sentence
abdominal distention,The patient reports experiencing abdominal distention after every meal.
abnormal appearing skin,There are signs of abnormal appearing skin on the patient's arms.
abnormal breathing sounds,The doctor noticed abnormal breathing sounds during the examination.
abnormal involuntary movements,She has been having episodes of abnormal involuntary movements for the past week.
abnormal movement of eyelid,He mentioned an abnormal movement of eyelid that happens frequently.
absence of menstruation,She is concerned about her absence of menstruation for the last two months.
abusing alcohol,He admitted to abusing alcohol over the past few years.
ache all over,The patient complains that they ache all over and feel very fatigued.
acne,She is distressed by a sudden outbreak of acne on her face.
allergic reaction,He had an allergic reaction after eating peanuts.
ankle pain,She has been suffering from ankle pain after running.
ankle swelling,His ankle swelling has worsened since the injury.
ankle weakness,She has been experiencing ankle weakness that affects her walking.
antisocial behavior,His antisocial behavior has been causing concern among his friends and family.
anxiety and nervousness,She often feels anxiety and nervousness in social situations.
apnea,The patient had an episode of apnea during sleep.
arm lump,He found an arm lump that appeared suddenly.
arm pain,She has been complaining about persistent arm pain.
arm stiffness,He noted arm stiffness in the mornings.
arm swelling,Her arm swelling started after she got stung by a bee.
arm weakness,He is experiencing arm weakness that makes lifting objects difficult.
around nose,She has a rash around nose that won't go away.
back cramps,She has been suffering from back cramps since starting her new job.
back mass,The doctor found a back mass during the check-up.
back pain,He has been dealing with chronic back pain for years.
back stiffness,Her back stiffness makes it hard to bend down.
back weakness,He has noticed back weakness since the accident.
bedwetting,The child has been bedwetting frequently at night.
bladder mass,The scan revealed a bladder mass that needs further investigation.
bleeding,She noticed bleeding from her gums after brushing her teeth.
bleeding during pregnancy,The doctor is monitoring her for bleeding during pregnancy.
bleeding from ear,He experienced bleeding from ear after the accident.
bleeding from eye,She was alarmed by the bleeding from eye after the injury.
bleeding gums,The patient complains of bleeding gums when eating hard foods.
blindness,She is struggling with partial blindness in her left eye.
blood clots during menstrual periods,She observed blood clots during menstrual periods over the last few cycles.
blood in stool,The patient reported seeing blood in stool during bowel movements.
blood in urine,He was alarmed to find blood in urine this morning.
bones are painful,She mentioned that her bones are painful after physical activity.
bowlegged,The pediatrician noted that the child is bowlegged.
breathing fast,He was admitted with symptoms of breathing fast and chest pain.
bumps on penis,The patient has developed bumps on penis and is seeking treatment.
burning abdominal pain,He is experiencing burning abdominal pain after meals.
burning chest pain,She complains of burning chest pain when lying down.
changes in stool appearance,The doctor observed changes in stool appearance that need further testing.
chest tightness,He has been feeling chest tightness during exercise.
chills,The patient reports experiencing chills and fever.
clouds in vision,She described having clouds in vision when looking at bright lights.
cloudy eye,He was diagnosed with a cloudy eye and referred to a specialist.
congestion in chest,The patient complains of congestion in chest and difficulty breathing.
constipation,She is suffering from constipation despite taking laxatives.
contractures,The patient has contractures affecting their mobility.
coryza,He has been experiencing coryza for several days.
cough,The patient has a persistent cough that won't go away.
coughing up sputum,She has been coughing up sputum and feeling unwell.
cramps and spasms,The patient complains of cramps and spasms in their legs.
cross-eyed,The child was diagnosed as cross-eyed and referred for treatment.
decreased appetite,He reports a decreased appetite and significant weight loss.
decreased heart rate,The monitor showed a decreased heart rate during the examination.
delusions,The patient is experiencing delusions and needs psychiatric care.
depression,She has been struggling with depression since her divorce.
depressive,The patient feels depressive and unmotivated most days.
diaper rash,The infant developed a diaper rash that needs treatment.
diarrhea,He has been suffering from diarrhea for the past few days.
difficulty breathing,The patient is having difficulty breathing and needs immediate attention.
difficulty eating,She has difficulty eating solid foods due to her condition.
difficulty in swallowing,The patient reports difficulty in swallowing and frequent choking.
difficulty speaking,He has been experiencing difficulty speaking after the stroke.
diminished hearing,The patient has diminished hearing in both ears.
diminished vision,She has been dealing with diminished vision since the injury.
discharge from nipple,The patient noticed discharge from nipple and scheduled a check-up.
disturbance of memory,He is experiencing a disturbance of memory and confusion.
dizziness,She feels dizziness when standing up quickly.
double vision,The patient reports double vision and headaches.
drainage in throat,He has been feeling drainage in throat and constant coughing.
drug abuse,The doctor is concerned about his drug abuse and recommended rehab.
dry,The patient's skin is extremely dry and flaky.
dry lips,He complains of dry lips and constant thirst.
ear pain,The patient has been experiencing ear pain and hearing loss.
early,She has been having early morning headaches for a week.
elbow pain,He reports elbow pain after playing tennis.
elbow swelling,The doctor noted elbow swelling and recommended an X-ray.
elbow weakness,She has been experiencing elbow weakness and difficulty lifting objects.
emotional symptoms,The patient is struggling with emotional symptoms and seeks therapy.
excessive anger,He has been exhibiting excessive anger and violent outbursts.
excessive appetite,The patient has an excessive appetite and has gained weight.
excessive growth,He has been showing signs of excessive growth in his limbs.
excessive urination at night,She reports excessive urination at night and difficulty sleeping.
eye burns,The patient complains of eye burns and irritation.
eye deviation,He has an eye deviation that requires corrective surgery.
eye moves abnormally,The doctor noted the patient's eye moves abnormally.
eye redness,She has been dealing with eye redness and discomfort.
eyelid lesion,The patient has a noticeable eyelid lesion that needs treatment.
eyelid swelling,He is suffering from eyelid swelling and pain.
